region,year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,prop_del,SelectionProb,SamplingWeight
North East,2023,9,YX,Republic Airline,BOS,"Boston, MA: Logan International",1899,414,84.95,22.75,251.47,1.76,53.06,128,5,31448,6593,2333,17108,143,5271,0.218009479,0.163621262,6.111675127
North East,2023,9,YX,Republic Airline,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",70,7,2.3,1,0.07,0,3.63,5,0,606,185,167,2,0,252,0.1,0.163621262,6.111675127
North East,2023,8,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",205,29,8.52,0.57,11.44,0,8.48,3,0,2886,749,46,1240,0,851,0.141463415,0.163621262,6.111675127
North East,2023,8,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",3171,438,116.05,18.62,141.81,0.07,161.45,77,8,37080,13761,1274,8613,6,13426,0.138126774,0.163621262,6.111675127
North East,2023,8,AS,Alaska Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",155,34,6.1,0,21.51,0,6.4,0,1,1611,394,0,887,0,330,0.219354839,0.163621262,6.111675127
North East,2023,8,B6,JetBlue Airways,DCA,"Washington, DC: Ronald Reagan Washington National",714,228,91.3,6.15,52.5,0.27,77.78,24,5,19614,8507,484,3160,28,7435,0.319327731,0.163621262,6.111675127
North East,2023,8,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",3466,1223,385.04,21.57,221.4,2.12,592.87,109,3,113183,39141,2478,12126,148,59290,0.352856319,0.163621262,6.111675127
North East,2023,8,DL,Delta Air Lines Network,BOS,"Boston, MA: Logan International",2338,498,129.94,16.81,147.11,0,204.14,27,3,37855,12993,1479,6823,0,16560,0.213002566,0.163621262,6.111675127
North East,2023,8,DL,Delta Air Lines Network,JFK,"New York, NY: John F. Kennedy International",2527,442,160.43,15.88,120.59,1,144.1,19,3,41797,21454,2364,5403,27,12549,0.174910962,0.163621262,6.111675127
North East,2023,8,G4,Allegiant Air,BOS,"Boston, MA: Logan International",46,3,2,0,1,0,0,0,1,180,162,0,18,0,0,0.065217391,0.163621262,6.111675127
North East,2023,8,G7,GoJet Airlines LLC d/b/a,EWR,"Newark, NJ: Newark Liberty International",980,119,23.88,10.21,52.26,0,32.65,15,2,9274,2701,806,2227,0,3540,0.121428571,0.163621262,6.111675127
North East,2023,8,G7,GoJet Airlines LLC d/b/a,LGA,"New York, NY: LaGuardia",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163621262,6.111675127
North East,2023,8,NK,Spirit Airlines,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",563,172,73.96,7.4,53.21,4.79,32.64,10,1,14354,6560,495,4248,351,2700,0.305506217,0.163621262,6.111675127
North East,2023,8,OH,PSA Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",109,23,7.02,4.34,2.68,0.11,8.85,2,0,1432,255,311,114,4,748,0.211009174,0.163621262,6.111675127
North East,2023,8,OO,SkyWest Airlines Inc.,BOS,"Boston, MA: Logan International",152,41,17,11,13,0,0,4,1,3060,1229,916,915,0,0,0.269736842,0.163621262,6.111675127
North East,2023,8,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2965,518,174.7,22.85,137.47,0,182.98,30,6,38781,11946,3192,6406,0,17237,0.17470489,0.163621262,6.111675127
North East,2023,8,UA,United Air Lines Network,LGA,"New York, NY: LaGuardia",686,135,44.14,3.79,30.33,0,56.74,19,2,7390,1952,174,1272,0,3992,0.196793003,0.163621262,6.111675127
North East,2023,8,WN,Southwest Airlines,BOS,"Boston, MA: Logan International",605,213,64.41,6.49,60.91,0,81.19,4,1,11859,3283,827,3357,0,4392,0.352066116,0.163621262,6.111675127
North East,2023,8,WN,Southwest Airlines,PHL,"Philadelphia, PA: Philadelphia International",390,104,41.72,1.7,21.77,1,37.81,3,1,4620,1747,113,886,23,1851,0.266666667,0.163621262,6.111675127
North East,2023,8,YV,Mesa Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163621262,6.111675127
North East,2023,8,YX,Republic Airline,DCA,"Washington, DC: Ronald Reagan Washington National",1952,267,56.04,10.64,112.23,1.01,87.08,30,10,17745,3785,1561,4647,35,7717,0.136782787,0.163621262,6.111675127
North East,2023,8,YX,Republic Airline,LGA,"New York, NY: LaGuardia",3380,341,91.42,24.9,140.92,1.05,82.7,58,4,22998,6733,3022,7533,90,5620,0.100887574,0.163621262,6.111675127
North East,2023,7,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",62,18,3.26,1,5.73,0,8.02,12,0,2765,312,962,467,0,1024,0.290322581,0.163621262,6.111675127
North East,2023,7,AA,American Airlines Network,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",333,127,42.79,7.58,20.39,0.91,55.32,5,0,9136,2644,512,880,95,5005,0.381381381,0.163621262,6.111675127
North East,2023,7,AA,American Airlines Network,EWR,"Newark, NJ: Newark Liberty International",644,266,70.12,17.4,80.61,0.03,97.85,44,2,24831,6860,1600,5676,1,10694,0.413043478,0.163621262,6.111675127
North East,2023,7,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",93,40,18.32,0,5.93,0,15.75,0,0,3406,1731,0,184,0,1491,0.430107527,0.163621262,6.111675127
North East,2023,7,AA,American Airlines Network,LGA,"New York, NY: LaGuardia",1473,483,131.99,43.1,147.16,1.95,158.8,70,17,44156,12009,3757,12851,107,15432,0.32790224,0.163621262,6.111675127
North East,2023,7,AS,Alaska Airlines Network,JFK,"New York, NY: John F. Kennedy International",369,135,20.43,13.7,73.25,0,27.62,1,4,12555,1703,1829,7363,0,1660,0.365853659,0.163621262,6.111675127
North East,2023,7,B6,JetBlue Airways,PHL,"Philadelphia, PA: Philadelphia International",57,23,13.25,1.68,2.59,0.32,5.15,4,0,2170,1044,203,413,37,473,0.403508772,0.163621262,6.111675127
North East,2023,7,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",268,71,40.37,2.1,11.68,0,16.85,3,1,4871,2848,103,660,0,1260,0.264925373,0.163621262,6.111675127
North East,2023,7,F9,Frontier Airlines,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",209,99,35.58,4.74,15.19,0,43.49,6,3,8336,3473,300,972,0,3591,0.473684211,0.163621262,6.111675127
North East,2023,7,G4,Allegiant Air,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",14,2,0.3,0,0.93,0,0.78,0,0,115,11,0,49,0,55,0.142857143,0.163621262,6.111675127
North East,2023,7,G4,Allegiant Air,IAD,"Washington, DC: Washington Dulles International",45,24,2.35,1.66,8.41,0,11.58,1,0,1594,135,137,404,0,918,0.533333333,0.163621262,6.111675127
North East,2023,7,G7,GoJet Airlines LLC d/b/a,DCA,"Washington, DC: Ronald Reagan Washington National",240,67,29.54,5.08,17.4,0,14.98,56,0,5081,1861,668,984,0,1568,0.279166667,0.163621262,6.111675127
North East,2023,7,MQ,Envoy Air,DCA,"Washington, DC: Ronald Reagan Washington National",291,68,14.95,3.57,27.83,0,21.66,5,4,4586,742,279,1759,0,1806,0.233676976,0.163621262,6.111675127
North East,2023,7,MQ,Envoy Air,IAD,"Washington, DC: Washington Dulles International",23,5,0.51,0.26,1.27,0,2.96,0,0,237,18,15,89,0,115,0.217391304,0.163621262,6.111675127
North East,2023,7,NK,Spirit Airlines,PHL,"Philadelphia, PA: Philadelphia International",523,205,43.12,21.75,92.71,4.44,42.98,12,1,16668,3414,2060,7567,191,3436,0.391969407,0.163621262,6.111675127
North East,2023,7,OO,SkyWest Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163621262,6.111675127
North East,2023,7,OO,SkyWest Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163621262,6.111675127
North East,2023,7,UA,United Air Lines Network,EWR,"Newark, NJ: Newark Liberty International",6161,2032,486.85,83.41,815.37,0,646.37,584,44,205416,48486,13652,72056,0,71222,0.329816588,0.163621262,6.111675127
North East,2023,7,UA,United Air Lines Network,LGA,"New York, NY: LaGuardia",635,215,64.53,15.72,65.38,0,69.37,44,5,14287,3910,1333,4067,0,4977,0.338582677,0.163621262,6.111675127
North East,2023,7,WN,Southwest Airlines,LGA,"New York, NY: LaGuardia",1058,310,97.08,10,102.99,0,99.93,89,10,17309,4471,622,6363,0,5853,0.293005671,0.163621262,6.111675127
North East,2023,7,YV,Mesa Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",896,262,72.7,10.7,63.74,0,114.86,55,7,29642,9463,1646,4023,0,14510,0.292410714,0.163621262,6.111675127
North East,2023,7,YX,Republic Airline,EWR,"Newark, NJ: Newark Liberty International",2398,490,75.37,28.68,297.45,0,88.5,483,15,44080,8745,4511,20741,0,10083,0.204336947,0.163621262,6.111675127
North East,2023,6,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",194,20,5.06,0,7.49,0,7.45,1,2,1270,431,0,440,0,399,0.103092784,0.163621262,6.111675127
North East,2023,6,DL,Delta Air Lines Network,BOS,"Boston, MA: Logan International",2206,622,213.99,15.84,194.5,0.88,196.79,43,3,48833,21422,1526,9310,42,16533,0.281958296,0.163621262,6.111675127
North East,2023,6,DL,Delta Air Lines Network,LGA,"New York, NY: LaGuardia",2049,544,167.74,19,196.45,0,160.8,88,31,47441,19197,1841,13049,0,13354,0.265495364,0.163621262,6.111675127
North East,2023,6,G4,Allegiant Air,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",13,2,0,0,0.28,0.25,1.47,1,0,44,0,0,6,6,32,0.153846154,0.163621262,6.111675127
North East,2023,6,G4,Allegiant Air,IAD,"Washington, DC: Washington Dulles International",44,16,2.31,1.99,6.43,0,5.27,0,0,872,109,104,451,0,208,0.363636364,0.163621262,6.111675127
North East,2023,6,G7,GoJet Airlines LLC d/b/a,PHL,"Philadelphia, PA: Philadelphia International",19,8,1.26,0,3.96,0,2.78,1,0,595,91,0,181,0,323,0.421052632,0.163621262,6.111675127
North East,2023,6,HA,Hawaiian Airlines Network,JFK,"New York, NY: John F. Kennedy International",30,19,16.41,0,0,0,2.59,0,0,786,641,0,0,0,145,0.633333333,0.163621262,6.111675127
North East,2023,6,MQ,Envoy Air,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",30,2,0.78,0,0.36,0,0.86,0,0,106,39,0,20,0,47,0.066666667,0.163621262,6.111675127
North East,2023,6,OH,PSA Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",755,137,34.34,4.68,37.57,1,59.41,33,1,11494,3759,344,2047,19,5325,0.181456954,0.163621262,6.111675127
North East,2023,6,OO,SkyWest Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",3,1,0,1,0,0,0,0,0,1020,0,1020,0,0,0,0.333333333,0.163621262,6.111675127
North East,2023,6,OO,SkyWest Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",260,44,34,7,2,0,1,1,1,5976,3993,1595,342,0,46,0.169230769,0.163621262,6.111675127
North East,2023,6,OO,SkyWest Airlines Inc.,LGA,"New York, NY: LaGuardia",151,35,19,3,9,0,4,8,1,2547,1070,192,1010,0,275,0.231788079,0.163621262,6.111675127
North East,2023,6,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2613,703,297.44,28.32,165.32,0.8,211.12,118,9,57315,26386,2265,6659,205,21800,0.269039418,0.163621262,6.111675127
North East,2023,6,WN,Southwest Airlines,IAD,"Washington, DC: Washington Dulles International",160,46,18.99,0.96,7.96,0,18.09,0,0,2141,778,127,335,0,901,0.2875,0.163621262,6.111675127
North East,2023,6,YV,Mesa Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",1,1,0.65,0,0.35,0,0,0,0,100,65,0,35,0,0,1,0.163621262,6.111675127
North East,2023,6,YX,Republic Airline,BOS,"Boston, MA: Logan International",1997,336,77.66,19.56,173.82,1.43,63.52,87,1,22308,4558,1464,9870,31,6385,0.168252379,0.163621262,6.111675127
North East,2023,6,YX,Republic Airline,EWR,"Newark, NJ: Newark Liberty International",2337,499,64.89,17.22,366.38,0,50.5,253,14,37576,6101,3465,23316,0,4694,0.213521609,0.163621262,6.111675127
North East,2023,6,YX,Republic Airline,LGA,"New York, NY: LaGuardia",3272,607,98.75,61.74,361.58,0.04,84.89,222,17,48540,8375,6582,25789,5,7789,0.185513447,0.163621262,6.111675127
North East,2023,5,AS,Alaska Airlines Network,BOS,"Boston, MA: Logan International",230,71,16.69,1.43,45.56,0,7.32,0,0,2532,972,46,1278,0,236,0.308695652,0.163621262,6.111675127
North East,2023,5,B6,JetBlue Airways,LGA,"New York, NY: LaGuardia",1419,259,117.54,11.59,48.83,0.38,80.66,11,5,17488,8048,1398,1809,10,6223,0.182522903,0.163621262,6.111675127
North East,2023,5,DL,Delta Air Lines Network,PHL,"Philadelphia, PA: Philadelphia International",463,44,31.91,0,4.16,0,7.93,2,0,2304,1615,0,109,0,580,0.095032397,0.163621262,6.111675127
North East,2023,5,G7,GoJet Airlines LLC d/b/a,IAD,"Washington, DC: Washington Dulles International",396,29,9.61,0,10.4,0,8.99,1,0,1809,592,0,244,0,973,0.073232323,0.163621262,6.111675127
North East,2023,5,G7,GoJet Airlines LLC d/b/a,PHL,"Philadelphia, PA: Philadelphia International",61,17,8.06,0,6.57,0,2.37,0,0,1091,500,0,262,0,329,0.278688525,0.163621262,6.111675127
North East,2023,5,HA,Hawaiian Airlines Network,JFK,"New York, NY: John F. Kennedy International",31,22,18.63,0.29,0,0.6,2.48,0,0,1143,956,16,0,29,142,0.709677419,0.163621262,6.111675127
North East,2023,5,NK,Spirit Airlines,BOS,"Boston, MA: Logan International",316,64,19.36,3.48,24.99,1.86,14.31,4,0,3678,1066,280,856,48,1428,0.202531646,0.163621262,6.111675127
North East,2023,5,NK,Spirit Airlines,EWR,"Newark, NJ: Newark Liberty International",773,176,52.88,7.63,72.83,4.47,38.19,4,0,10713,3582,740,3552,142,2697,0.227684347,0.163621262,6.111675127
North East,2023,5,OO,SkyWest Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",109,14,12,0,0,0,2,2,0,602,416,0,0,0,186,0.128440367,0.163621262,6.111675127
North East,2023,5,UA,United Air Lines Network,BOS,"Boston, MA: Logan International",1077,216,96.27,9.07,44.59,0,66.06,9,1,12928,5301,697,1682,0,5248,0.200557103,0.163621262,6.111675127
North East,2023,5,UA,United Air Lines Network,EWR,"Newark, NJ: Newark Liberty International",6400,1350,381.07,34.6,551.5,0,382.82,37,10,86711,26824,4198,19936,0,35753,0.2109375,0.163621262,6.111675127
North East,2023,5,UA,United Air Lines Network,PHL,"Philadelphia, PA: Philadelphia International",343,57,22.78,4.35,5.21,0,24.65,0,0,3896,1377,387,245,0,1887,0.166180758,0.163621262,6.111675127
North East,2023,5,WN,Southwest Airlines,LGA,"New York, NY: LaGuardia",1043,247,83.72,4.25,76.57,1.43,81.03,2,0,8833,2894,234,2270,94,3341,0.236816874,0.163621262,6.111675127
North East,2023,5,YV,Mesa Airlines Inc.,BOS,"Boston, MA: Logan International",1,1,1,0,0,0,0,0,0,19,19,0,0,0,0,1,0.163621262,6.111675127
North East,2023,4,AA,American Airlines Network,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",291,79,28.77,2.17,18.9,0,29.15,8,1,4952,1851,217,985,0,1899,0.271477663,0.163621262,6.111675127
North East,2023,4,AS,Alaska Airlines Network,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",30,10,1.83,0,5.11,1.89,1.17,0,0,457,127,0,198,37,95,0.333333333,0.163621262,6.111675127
North East,2023,4,AS,Alaska Airlines Network,IAD,"Washington, DC: Washington Dulles International",163,49,12.28,0,18.91,0,17.81,4,0,2462,788,0,656,0,1018,0.300613497,0.163621262,6.111675127
North East,2023,4,B6,JetBlue Airways,DCA,"Washington, DC: Ronald Reagan Washington National",810,202,81.44,3.96,55.37,0.06,61.17,11,4,15316,5818,693,3971,6,4828,0.249382716,0.163621262,6.111675127
North East,2023,4,B6,JetBlue Airways,EWR,"Newark, NJ: Newark Liberty International",587,175,54.62,3.23,61.07,0.7,55.38,29,4,16425,4936,286,5090,33,6080,0.298126065,0.163621262,6.111675127
North East,2023,4,DL,Delta Air Lines Network,BOS,"Boston, MA: Logan International",2108,453,172.1,6.25,135.9,1,137.76,39,3,31907,13016,2347,5659,41,10844,0.214895636,0.163621262,6.111675127
North East,2023,4,DL,Delta Air Lines Network,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",443,82,51.91,0.76,13.12,0,16.21,9,0,4403,3354,13,409,0,627,0.18510158,0.163621262,6.111675127
North East,2023,4,DL,Delta Air Lines Network,LGA,"New York, NY: LaGuardia",2093,470,157.18,13.49,165.39,0,133.95,77,9,35119,12062,2278,10845,0,9934,0.224558051,0.163621262,6.111675127
North East,2023,4,G7,GoJet Airlines LLC d/b/a,DCA,"Washington, DC: Ronald Reagan Washington National",351,81,33.19,1,31.37,0,15.44,24,0,4606,2128,77,1226,0,1175,0.230769231,0.163621262,6.111675127
North East,2023,4,HA,Hawaiian Airlines Network,JFK,"New York, NY: John F. Kennedy International",30,26,21.98,0,0,0,4.02,0,0,1886,1628,0,0,0,258,0.866666667,0.163621262,6.111675127
North East,2023,4,MQ,Envoy Air,DCA,"Washington, DC: Ronald Reagan Washington National",224,35,14.86,0.72,6.66,0,12.77,6,1,1890,607,57,275,0,951,0.15625,0.163621262,6.111675127
North East,2023,4,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",333,74,29.52,7.55,19.4,0,17.53,3,3,6548,1686,2092,671,0,2099,0.222222222,0.163621262,6.111675127
North East,2023,4,YX,Republic Airline,IAD,"Washington, DC: Washington Dulles International",231,36,8.05,1.67,22.57,0,3.72,5,0,2578,598,385,1421,0,174,0.155844156,0.163621262,6.111675127
North East,2023,4,YX,Republic Airline,PHL,"Philadelphia, PA: Philadelphia International",591,72,20.73,4.18,20.56,0,26.53,7,0,4842,1311,276,600,0,2655,0.121827411,0.163621262,6.111675127
North East,2023,3,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",116,31,15.24,1.08,3.24,0,11.44,3,0,2133,1106,111,118,0,798,0.267241379,0.163621262,6.111675127
North East,2023,3,F9,Frontier Airlines,BOS,"Boston, MA: Logan International",61,5,1.95,0,0.05,0,3,2,0,775,51,0,1,0,723,0.081967213,0.163621262,6.111675127
North East,2023,3,F9,Frontier Airlines,PHL,"Philadelphia, PA: Philadelphia International",829,312,95.61,0.5,75.5,0,140.38,15,2,26638,10259,50,4432,0,11897,0.376357057,0.163621262,6.111675127
North East,2023,3,G4,Allegiant Air,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",30,5,1,0,3.76,0,0.24,0,0,214,16,0,184,0,14,0.166666667,0.163621262,6.111675127
North East,2023,3,G7,GoJet Airlines LLC d/b/a,EWR,"Newark, NJ: Newark Liberty International",1271,340,52.28,17.11,175.56,0,95.04,42,2,24238,5085,1341,9740,0,8072,0.267505901,0.163621262,6.111675127
North East,2023,3,HA,Hawaiian Airlines Network,BOS,"Boston, MA: Logan International",18,4,3.45,0,0,0,0.55,0,0,153,113,0,0,0,40,0.222222222,0.163621262,6.111675127
North East,2023,3,MQ,Envoy Air,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",31,8,2.18,0.66,3.1,0,2.06,0,0,287,109,29,94,0,55,0.258064516,0.163621262,6.111675127
North East,2023,3,OH,PSA Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",62,2,0.38,0,1.55,0,0.07,0,0,101,27,0,69,0,5,0.032258065,0.163621262,6.111675127
North East,2023,3,OO,SkyWest Airlines Inc.,BOS,"Boston, MA: Logan International",233,46,38,5,3,0,0,12,0,2931,2436,227,268,0,0,0.197424893,0.163621262,6.111675127
North East,2023,3,OO,SkyWest Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",23,8,5,3,0,0,0,1,0,408,305,103,0,0,0,0.347826087,0.163621262,6.111675127
North East,2023,3,OO,SkyWest Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",72,19,14,2,3,0,0,1,0,1206,826,188,192,0,0,0.263888889,0.163621262,6.111675127
North East,2023,3,OO,SkyWest Airlines Inc.,LGA,"New York, NY: LaGuardia",113,14,4,1,4,0,5,3,0,1292,379,62,394,0,457,0.123893805,0.163621262,6.111675127
North East,2023,3,UA,United Air Lines Network,LGA,"New York, NY: LaGuardia",557,123,31.9,1.19,49.44,0,40.47,6,0,6870,1615,216,2784,0,2255,0.220825853,0.163621262,6.111675127
North East,2023,2,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",2303,432,54.39,22.31,258.24,0,97.06,80,3,33253,5337,4117,16242,0,7557,0.187581416,0.163621262,6.111675127
North East,2023,2,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",105,24,7.1,1.03,3.53,0,12.34,2,0,2637,729,222,148,0,1538,0.228571429,0.163621262,6.111675127
North East,2023,2,AS,Alaska Airlines Network,EWR,"Newark, NJ: Newark Liberty International",262,64,18.75,4.13,35.12,0,6,6,1,3896,1393,573,1472,0,458,0.244274809,0.163621262,6.111675127
North East,2023,2,AS,Alaska Airlines Network,PHL,"Philadelphia, PA: Philadelphia International",28,6,3.96,0,2.04,0,0,2,0,251,198,0,53,0,0,0.214285714,0.163621262,6.111675127
North East,2023,2,B6,JetBlue Airways,BOS,"Boston, MA: Logan International",3655,919,296.56,6.98,195.61,1.08,418.77,107,8,78605,24983,1084,10313,28,42197,0.251436389,0.163621262,6.111675127
North East,2023,2,F9,Frontier Airlines,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",166,39,18.41,1,4.62,0,14.98,1,0,2319,1209,60,185,0,865,0.234939759,0.163621262,6.111675127
North East,2023,2,G4,Allegiant Air,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163621262,6.111675127
North East,2023,2,G4,Allegiant Air,IAD,"Washington, DC: Washington Dulles International",40,6,1.97,1.77,1.26,0,1,0,0,897,334,370,91,0,102,0.15,0.163621262,6.111675127
North East,2023,2,G7,GoJet Airlines LLC d/b/a,PHL,"Philadelphia, PA: Philadelphia International",33,12,5.34,0,3.73,0,2.92,0,0,631,249,0,122,0,260,0.363636364,0.163621262,6.111675127
North East,2023,2,HA,Hawaiian Airlines Network,BOS,"Boston, MA: Logan International",18,6,4.49,0,0,0,1.51,0,0,177,114,0,0,0,63,0.333333333,0.163621262,6.111675127
North East,2023,2,HA,Hawaiian Airlines Network,JFK,"New York, NY: John F. Kennedy International",28,18,15.77,0.59,0,0,1.64,0,0,684,566,19,0,0,99,0.642857143,0.163621262,6.111675127
North East,2023,2,MQ,Envoy Air,BOS,"Boston, MA: Logan International",126,24,6.67,0.34,6.87,0.59,9.53,1,0,1602,336,11,363,10,882,0.19047619,0.163621262,6.111675127
North East,2023,2,MQ,Envoy Air,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",29,5,0,1,2.29,0,1.71,1,0,221,0,120,48,0,53,0.172413793,0.163621262,6.111675127
North East,2023,2,MQ,Envoy Air,DCA,"Washington, DC: Ronald Reagan Washington National",228,34,9.33,2.12,11.96,0.44,10.16,1,1,1723,584,72,448,14,605,0.149122807,0.163621262,6.111675127
North East,2023,2,MQ,Envoy Air,EWR,"Newark, NJ: Newark Liberty International",30,4,3.7,0,0,0,0.3,0,0,270,259,0,0,0,11,0.133333333,0.163621262,6.111675127
North East,2023,2,OO,SkyWest Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",74,25,20,3,2,0,0,0,0,1775,1153,348,274,0,0,0.337837838,0.163621262,6.111675127
North East,2023,2,UA,United Air Lines Network,BOS,"Boston, MA: Logan International",891,152,53.52,5.26,39.35,0,53.87,6,1,7461,2412,323,1648,0,3078,0.170594837,0.163621262,6.111675127
North East,2023,2,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",412,91,38.79,0.43,24.32,0,27.46,2,1,5230,1971,26,900,0,2333,0.220873786,0.163621262,6.111675127
North East,2023,2,WN,Southwest Airlines,IAD,"Washington, DC: Washington Dulles International",124,8,6.33,0,0.93,0,0.74,5,0,226,176,0,27,0,23,0.064516129,0.163621262,6.111675127
North East,2023,2,YV,Mesa Airlines Inc.,LGA,"New York, NY: LaGuardia",262,70,19.41,0,41.18,0,9.41,4,0,5122,1578,0,2411,0,1133,0.267175573,0.163621262,6.111675127
North East,2023,2,YV,Mesa Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",28,7,5.04,0,1.29,0,0.67,0,0,273,204,0,46,0,23,0.25,0.163621262,6.111675127
North East,2023,2,YX,Republic Airline,JFK,"New York, NY: John F. Kennedy International",1403,138,33.29,3.15,75.81,0,25.75,11,1,6264,2621,184,2130,0,1329,0.098360656,0.163621262,6.111675127
North East,2023,2,ZW,Air Wisconsin Airlines Co,IAD,"Washington, DC: Washington Dulles International",485,89,19.58,1.94,21.79,0,45.69,6,2,10524,2658,161,732,0,6973,0.183505155,0.163621262,6.111675127
North East,2023,1,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",56,16,5.32,0.89,4.49,0,5.3,1,0,794,153,50,251,0,340,0.285714286,0.163621262,6.111675127
North East,2023,1,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",2202,530,92.77,25.62,273.11,0,138.5,58,8,42498,10181,4332,16791,0,11194,0.240690282,0.163621262,6.111675127
North East,2023,1,AA,American Airlines Network,BOS,"Boston, MA: Logan International",1255,284,75.83,6.09,93.34,2.69,106.05,14,0,21874,6779,454,3905,70,10666,0.226294821,0.163621262,6.111675127
North East,2023,1,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2351,498,121.48,12.25,149.97,2.04,212.26,32,2,32655,7797,974,7161,107,16616,0.211824755,0.163621262,6.111675127
North East,2023,1,AS,Alaska Airlines Network,BOS,"Boston, MA: Logan International",178,70,9.03,0.79,53.56,0,6.62,0,2,2623,526,114,1745,0,238,0.393258427,0.163621262,6.111675127
North East,2023,1,AS,Alaska Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",155,37,7.67,0.47,25.36,0,3.49,0,0,1369,425,9,736,0,199,0.238709677,0.163621262,6.111675127
North East,2023,1,B6,JetBlue Airways,DCA,"Washington, DC: Ronald Reagan Washington National",880,220,86.61,0,66.58,0.57,66.24,8,3,15438,6075,0,3638,24,5701,0.25,0.163621262,6.111675127
North East,2023,1,DL,Delta Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",667,155,84.5,4.58,31.82,0,34.11,8,1,9340,5187,393,1221,0,2539,0.232383808,0.163621262,6.111675127
North East,2023,1,DL,Delta Air Lines Network,LGA,"New York, NY: LaGuardia",2089,532,151.4,11.03,232.02,0.44,137.1,34,7,36462,13971,1054,12110,42,9285,0.254667305,0.163621262,6.111675127
North East,2023,1,G4,Allegiant Air,EWR,"Newark, NJ: Newark Liberty International",42,5,2.39,0,2.61,0,0,1,0,238,112,0,126,0,0,0.119047619,0.163621262,6.111675127
